ProductId,Product_Name,Desc,Price,Offer,Review,Operating_System,Display_Size,Processor,Camera,Security,Design,Durability,Connectivity,Charging,Color_Options,Special_Features,Storage_Options,RAM,Storage,Graphics,Ports,Battery_Life,Weight,Keyboard,OS,Display,Chip,Health,Fitness,Waterproof,Battery,Capacity,Cycle_Options,Energy_Efficiency,Spin_Speed,Load_Sensing,Vibration_Control,Motor_Type,Water_Usage,selected_features
prod1,iPhone 12,Apple smartphone,799,10% off,4.5,iOS,6.1-inch Super Retina XDR display,A14 Bionic chip,Dual-camera system,Face ID,Ceramic Shield front cover,Water and dust resistant (IP68),5G capable,Wireless charging,Available in multiple colors,,,,,,,,,,,,,,,,,,,,,,,,,"{'Operating_System': 'iOS', 'Display_Size': '6.1-inch Super Retina XDR display', 'Processor': 'A14 Bionic chip', 'Camera': 'Dual-camera system', 'Security': 'Face ID', 'Design': 'Ceramic Shield front cover', 'Durability': 'Water and dust resistant (IP68)', 'Connectivity': '5G capable', 'Charging': 'Wireless charging', 'Color_Options': 'Available in multiple colors', 'Special_Features': nan, 'Storage_Options': nan, 'RAM': nan, 'Storage': nan, 'Graphics': nan, 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': nan, 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod2,Samsung Galaxy S20,Android smartphone,899,15% off,4.7,Android,6.2-inch Quad HD+ Dynamic AMOLED display,Snapdragon 865 processor,Triple-camera system,Ultrasonic fingerprint sensor,,IP68 water and dust resistance,5G capable,Fast charging,,Wireless PowerShare,Expandable storage,,,,,,,,,,,,,,,,,,,,,,,"{'Operating_System': 'Android', 'Display_Size': '6.2-inch Quad HD+ Dynamic AMOLED display', 'Processor': 'Snapdragon 865 processor', 'Camera': 'Triple-camera system', 'Security': 'Ultrasonic fingerprint sensor', 'Design': nan, 'Durability': 'IP68 water and dust resistance', 'Connectivity': '5G capable', 'Charging': 'Fast charging', 'Color_Options': nan, 'Special_Features': 'Wireless PowerShare', 'Storage_Options': 'Expandable storage', 'RAM': nan, 'Storage': nan, 'Graphics': nan, 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': nan, 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod3,Google Pixel 5,Android smartphone,699,No offer,4.6,Android,6.0-inch OLED display,Snapdragon 765G processor,Dual-camera system,Rear-mounted fingerprint sensor,,IP68 water and dust resistance,5G capable,Fast charging,"Just Black, Sorta Sage",Pure Android experience,,,,,,,,,,,,,,,,,,,,,,,,"{'Operating_System': 'Android', 'Display_Size': '6.0-inch OLED display', 'Processor': 'Snapdragon 765G processor', 'Camera': 'Dual-camera system', 'Security': 'Rear-mounted fingerprint sensor', 'Design': nan, 'Durability': 'IP68 water and dust resistance', 'Connectivity': '5G capable', 'Charging': 'Fast charging', 'Color_Options': 'Just Black, Sorta Sage', 'Special_Features': 'Pure Android experience', 'Storage_Options': nan, 'RAM': nan, 'Storage': nan, 'Graphics': nan, 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': nan, 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod4,OnePlus 8 Pro,Android smartphone,899,10% off,4.8,Android,6.78-inch Fluid AMOLED display,Snapdragon 865 processor,Quad-camera system,In-display fingerprint sensor,,Water and dust resistant (IP68),5G capable,Wireless charging,"Glacial Green, Ultramarine Blue, Onyx Black",Fast charging (Warp Charge 30T),,,,,,,,,,,,,,,,,,,,,,,,"{'Operating_System': 'Android', 'Display_Size': '6.78-inch Fluid AMOLED display', 'Processor': 'Snapdragon 865 processor', 'Camera': 'Quad-camera system', 'Security': 'In-display fingerprint sensor', 'Design': nan, 'Durability': 'Water and dust resistant (IP68)', 'Connectivity': '5G capable', 'Charging': 'Wireless charging', 'Color_Options': 'Glacial Green, Ultramarine Blue, Onyx Black', 'Special_Features': 'Fast charging (Warp Charge 30T)', 'Storage_Options': nan, 'RAM': nan, 'Storage': nan, 'Graphics': nan, 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': nan, 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod201,MacBook Pro 13,Apple laptop,1299,No offer,4.8,macOS,13.3 inches,Intel Core i5 processor,,,,,,,,Touch Bar and Touch ID,,8GB RAM,256GB SSD storage,Intel Iris Plus Graphics,Four Thunderbolt 3 (USB-C) ports,Up to 10 hours of battery life,Weighs just 3.1 pounds,,,,,,,,,,,,,,,,,"{'Operating_System': 'macOS', 'Display_Size': '13.3 inches', 'Processor': 'Intel Core i5 processor', 'Camera': nan, 'Security': nan, 'Design': nan, 'Durability': nan, 'Connectivity': nan, 'Charging': nan, 'Color_Options': nan, 'Special_Features': 'Touch Bar and Touch ID', 'Storage_Options': nan, 'RAM': '8GB RAM', 'Storage': '256GB SSD storage', 'Graphics': 'Intel Iris Plus Graphics', 'Ports': 'Four Thunderbolt 3 (USB-C) ports', 'Battery_Life': 'Up to 10 hours of battery life', 'Weight': 'Weighs just 3.1 pounds', 'Keyboard': nan, 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod202,Dell XPS 13,Dell laptop,1399,10% off,4.6,Windows 10 Home,13.4 inches,Intel Core i7 processor,,Fingerprint reader,Thin and light design,,Killer Wi-Fi 6,,,,,16GB RAM,512GB SSD storage,Intel Iris Xe Graphics,,,,Backlit keyboard,,,,,,,,,,,,,,,,"{'Operating_System': 'Windows 10 Home', 'Display_Size': '13.4 inches', 'Processor': 'Intel Core i7 processor', 'Camera': nan, 'Security': 'Fingerprint reader', 'Design': 'Thin and light design', 'Durability': nan, 'Connectivity': 'Killer Wi-Fi 6', 'Charging': nan, 'Color_Options': nan, 'Special_Features': nan, 'Storage_Options': nan, 'RAM': '16GB RAM', 'Storage': '512GB SSD storage', 'Graphics': 'Intel Iris Xe Graphics', 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': 'Backlit keyboard', 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod203,HP Spectre x360,Convertible laptop,1499,15% off,4.7,Windows 10 Home,13.3 inches,Intel Core i7 processor,,,,,,,,360-degree hinge,,16GB RAM,512GB SSD storage,Intel Iris Xe Graphics,,Up to 12 hours of battery life,Weighs just 2.87 pounds,,,,,,,,,,,,,,,,,"{'Operating_System': 'Windows 10 Home', 'Display_Size': '13.3 inches', 'Processor': 'Intel Core i7 processor', 'Camera': nan, 'Security': nan, 'Design': nan, 'Durability': nan, 'Connectivity': nan, 'Charging': nan, 'Color_Options': nan, 'Special_Features': '360-degree hinge', 'Storage_Options': nan, 'RAM': '16GB RAM', 'Storage': '512GB SSD storage', 'Graphics': 'Intel Iris Xe Graphics', 'Ports': nan, 'Battery_Life': 'Up to 12 hours of battery life', 'Weight': 'Weighs just 2.87 pounds', 'Keyboard': nan, 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod204,Lenovo ThinkPad X1 Carbon,Business laptop,1699,No offer,4.9,Windows 10 Pro,14 inches,Intel Core i7 processor,,Fingerprint reader,Carbon fiber construction,,Wi-Fi 6,,,,,16GB RAM,1TB SSD storage,Intel Iris Xe Graphics,,,,Spill-resistant backlit keyboard,,,,,,,,,,,,,,,,"{'Operating_System': 'Windows 10 Pro', 'Display_Size': '14 inches', 'Processor': 'Intel Core i7 processor', 'Camera': nan, 'Security': 'Fingerprint reader', 'Design': 'Carbon fiber construction', 'Durability': nan, 'Connectivity': 'Wi-Fi 6', 'Charging': nan, 'Color_Options': nan, 'Special_Features': nan, 'Storage_Options': nan, 'RAM': '16GB RAM', 'Storage': '1TB SSD storage', 'Graphics': 'Intel Iris Xe Graphics', 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': 'Spill-resistant backlit keyboard', 'OS': nan, 'Display': nan, 'Chip': nan, 'Health': nan, 'Fitness': nan, 'Waterproof': nan, 'Battery': nan, 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod301,Apple Watch Series 6,Smartwatch by Apple,399,No offer,4.9,,,,,,,,LTE and Wi-Fi,,,,,,,,,,,,watchOS,Always-On Retina display,S6 SiP with 64-bit dual-core processor,ECG and blood oxygen sensors,Activity tracking with GPS,Water resistant up to 50 meters,Up to 18 hours of battery life,,,,,,,,,"{'Operating_System': nan, 'Display_Size': nan, 'Processor': nan, 'Camera': nan, 'Security': nan, 'Design': nan, 'Durability': nan, 'Connectivity': 'LTE and Wi-Fi', 'Charging': nan, 'Color_Options': nan, 'Special_Features': nan, 'Storage_Options': nan, 'RAM': nan, 'Storage': nan, 'Graphics': nan, 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': nan, 'OS': 'watchOS', 'Display': 'Always-On Retina display', 'Chip': 'S6 SiP with 64-bit dual-core processor', 'Health': 'ECG and blood oxygen sensors', 'Fitness': 'Activity tracking with GPS', 'Waterproof': 'Water resistant up to 50 meters', 'Battery': 'Up to 18 hours of battery life', 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
prod302,Samsung Galaxy Watch 3,Smartwatch by Samsung,429,10% off,4.7,,,,,,,,LTE and Bluetooth,,,,,,,,,,,,Tizen,Circular Super AMOLED display,Exynos 9110 Dual-core processor,ECG and blood pressure monitoring,Advanced workout tracking,Water resistant up to 50 meters,Up to 2 days of battery life,,,,,,,,,"{'Operating_System': nan, 'Display_Size': nan, 'Processor': nan, 'Camera': nan, 'Security': nan, 'Design': nan, 'Durability': nan, 'Connectivity': 'LTE and Bluetooth', 'Charging': nan, 'Color_Options': nan, 'Special_Features': nan, 'Storage_Options': nan, 'RAM': nan, 'Storage': nan, 'Graphics': nan, 'Ports': nan, 'Battery_Life': nan, 'Weight': nan, 'Keyboard': nan, 'OS': 'Tizen', 'Display': 'Circular Super AMOLED display', 'Chip': 'Exynos 9110 Dual-core processor', 'Health': 'ECG and blood pressure monitoring', 'Fitness': 'Advanced workout tracking', 'Waterproof': 'Water resistant up to 50 meters', 'Battery': 'Up to 2 days of battery life', 'Capacity': nan, 'Cycle_Options': nan, 'Energy_Efficiency': nan, 'Spin_Speed': nan, 'Load_Sensing': nan, 'Vibration_Control': nan, 'Motor_Type': nan, 'Water_Usage': nan}"
